Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	STMMW_12531		1327343	213	cold shock protein (CspH)	87	STMMW_12531.fasta	
	STMMW_12541		1327687	264	putative outer membrane virulence protein (PagD)	198	STMMW_12541.fasta	
	STMMW_12551		1328849	471	outer membrane invasion protein (PagC)	163	STMMW_12551.fasta	
	STMMW_12561		1330556	345	putative secreted protein	159	STMMW_12561.fasta	
	STMMW_12562		1331278	126		46	STMMW_12562.fasta	
	STMMW_12581		1332027	468	putative heat shock protein	203	STMMW_12581.fasta	
	STMMW_12591		1332833	1044	hypothetical protein	447	STMMW_12591.fasta	
	STMMW_12601		1333959	531	putative cytochrome	279	STMMW_12601.fasta	
	STMMW_12611		1334638	315	putative lipoprotein	136	STMMW_12611.fasta	
	STMMW_12621		1335634	1635	putative substrate-binding transport protein	566	STMMW_12621.fasta	
	STMMW_12631		1337268	975	putative inner membrane transport protein	420	STMMW_12631.fasta	
	STMMW_12641		1338232	813	putative inner membrane transport protein	381	STMMW_12641.fasta	
	STMMW_12651		1339038	798	putative ABC transport ATP-binding protein	406	STMMW_12651.fasta	
	STMMW_12661		1339829	591	putative ABC transport ATP-binding subunit	314	STMMW_12661.fasta	
	STMMW_12671		1340501	1134	putative membrane protein	417	STMMW_12671.fasta	
	STMMW_12681		1341828	327	conserved hypothetical protein	144	STMMW_12681.fasta	
	STMMW_12691		1342351	648	putative exported protein	330	STMMW_12691.fasta	
	STMMW_12701		1343107	789	aminoglycoside-resistance protein	392	STMMW_12701.fasta	
	STMMW_12711		1344040	594	putative regulatory protein	329	STMMW_12711.fasta	
	STMMW_12721		1344702	849	putative transcriptional regulator	334	STMMW_12721.fasta	
	STMMW_12731		1345805	249	hypothetical protein	64	STMMW_12731.fasta	
	STMMW_12751		1346364	546	putative chorismate mutase	276	STMMW_12751.fasta	
	STMMW_12761		1347106	639	putative membrane transport protein	301	STMMW_12761.fasta	
	STMMW_12771		1347917	363	conserved hypothetical protein	148	STMMW_12771.fasta	
	STMMW_12781		1348282	183	conserved hypothetical protein	92	STMMW_12781.fasta	
	STMMW_12791		1348694	642	putative membrane protein	301	STMMW_12791.fasta	
	STMMW_12801		1349457	186	conserved hypothetical protein	137	STMMW_12801.fasta	
	STMMW_12811		1349650	249	putative inner membrane protein	92	STMMW_12811.fasta	
	STMMW_12821		1350331	252	conserved hypothetical protein	117	STMMW_12821.fasta	
	STMMW_12831		1350651	312	hypothetical protein	210	STMMW_12831.fasta	
	STMMW_12841		1350948	348	putative bacteriophage protein	193	STMMW_12841.fasta	
	STMMW_12851		1351414	1185	putative membrane protein	515	STMMW_12851.fasta	
	STMMW_12861		1352699	795	putative transcriptional regulator	378	STMMW_12861.fasta	
	STMMW_12862		1353473	447	putative membrane protein	240	STMMW_12862.fasta	
	STMMW_12881		1354229	519	conserved hypothetical protein	250	STMMW_12881.fasta	
	STMMW_12901		1356931	1287	conserved hypothetical protein	508	STMMW_12901.fasta	
	STMMW_12911		1358340	1935	conserved hypothetical protein	578	STMMW_12911.fasta	
	STMMW_12921		1360701	747	putative outer membrane protein	293	STMMW_12921.fasta	
	STMMW_12931		1361737	1197	putative regulatory protein	487	STMMW_12931.fasta	
	STMMW_12951		1363986	885	conserved hypothetical protein	398	STMMW_12951.fasta	
	STMMW_12971		1365205	996	glyceraldehyde 3-phosphate dehydrogenase a	286	STMMW_12971.fasta	
	STMMW_12981		1366512	444	conserved hypothetical protein	202	STMMW_12981.fasta	
	STMMW_12991		1366997	279	conserved hypothetical protein	92	STMMW_12991.fasta	
	STMMW_13001		1367627	657	pyrazinamidase/nicotinamidase	314	STMMW_13001.fasta	
	STMMW_13011		1368310	1017	L-asparaginase I	418	STMMW_13011.fasta	
	STMMW_13021		1369422	1857	protease IV	610	STMMW_13021.fasta	
	STMMW_13031		1371452	552	putative nitroreductase	274	STMMW_13031.fasta	
	STMMW_13041		1372121	1044	Selenium donor protein	479	STMMW_13041.fasta	
	STMMW_13051		1373169	1950	DNA topoisomerase iii	560	STMMW_13051.fasta	
	STMMW_13061		1375148	1344	NADP-specific glutamate dehydrogenase	564	STMMW_13061.fasta	
	STMMW_13071		1376730	276	putative exported protein	140	STMMW_13071.fasta	
	STMMW_13081		1376965	417	putative MutT-family protein	264	STMMW_13081.fasta	
	STMMW_13091		1377454	807	exodeoxyribonuclease III	397	STMMW_13091.fasta	
	STMMW_13101		1378706	1227	Acetylornithine/succinyldiaminopimelate aminotransferase	519	STMMW_13101.fasta	
	STMMW_13111		1379923	1035	arginine N-succinyltransferase	445	STMMW_13111.fasta	
	STMMW_13121		1380954	1479	succinylglutamic semialdehyde dehydrogenase	601	STMMW_13121.fasta	
	STMMW_13131		1382429	1344	succinylarginine dihydrolase	528	STMMW_13131.fasta	
	STMMW_13141		1383765	969	succinylglutamate desuccinylase	503	STMMW_13141.fasta	
	STMMW_13151		1385069	486	putative exported protein	270	STMMW_13151.fasta	
	STMMW_13161		1385629	909	conserved hypothetical protein	428	STMMW_13161.fasta	
	STMMW_13171		1386631	828	3-dependent NAD+ synthetase EC 6.3.1.5. Probable glutamine-dependent NAD+ synthetase EC 6.3.5.1	369	STMMW_13171.fasta	
	STMMW_13181		1387677	342	osmotically inducible lipoprotein E precursor	147	STMMW_13181.fasta	
	STMMW_13191		1388319	321	PTS system, cellobiose-specific IIb component	129	STMMW_13191.fasta	
	STMMW_13201		1388722	1359	PTS system, cellobiose-specific IIC component	615	STMMW_13201.fasta	
	STMMW_13211		1390131	348	phosphoenolpyruvate dependent phosphotransferase enzyme III-cellobiose	134	STMMW_13211.fasta	
	STMMW_13221		1390567	765	putative cel operon repressor	311	STMMW_13221.fasta	
	STMMW_13231		1391456	1356	phospho-beta-glucosidase B	533	STMMW_13231.fasta	
	STMMW_13241		1392824	759	conserved hypothetical protein	338	STMMW_13241.fasta	
	STMMW_13251		1393626	2253	catalase HPII	705	STMMW_13251.fasta	
	STMMW_13261		1396243	243	cell division activator CedA	92	STMMW_13261.fasta	
	STMMW_13271		1396587	1392	putative sodium:dicarboxylate symporter	569	STMMW_13271.fasta	
	STMMW_13281		1398115	600	putative membrane protein	270	STMMW_13281.fasta	
	STMMW_13291		1398852	669	putative hydrolase	354	STMMW_13291.fasta	
	STMMW_13301		1399669	537	putative membrane protein	185	STMMW_13301.fasta	
	STMMW_13311		1400248	861	conserved hypothetical protein	347	STMMW_13311.fasta	
	STMMW_13321		1401215	291	conserved hypothetical protein	145	STMMW_13321.fasta	
	STMMW_13331		1401602	933	6-phosphofructokinase isozyme	396	STMMW_13331.fasta	
	STMMW_13341		1402823	759	putative outer membrane protein	286	STMMW_13341.fasta	
	STMMW_13351		1403630	960	putative outer membrane protein	358	STMMW_13351.fasta	
	STMMW_13371		1405061	837	putative DNA/RNA non-specific endonuclease	388	STMMW_13371.fasta	
	STMMW_13401		1408714	1929	ThrRS	543	STMMW_13401.fasta	
	STMMW_13411		1410754	435	Translation initiation factor IF-3. Translation initiation factor IF-3, chloroplast	93	STMMW_13411.fasta	
	STMMW_13421		1411284	198	50S ribosomal protein L35. Chloroplast 50S ribosomal protein L35	54	STMMW_13421.fasta	
	STMMW_13431		1411532	357	50S ribosomal subunit protein L20	81	STMMW_13431.fasta	
	STMMW_13441		1412190	984	PheRS	410	STMMW_13441.fasta	
	STMMW_13451		1413189	2388	PheRS	731	STMMW_13451.fasta	
	STMMW_13461		1415581	300	integration host factor alpha-subunit	52	STMMW_13461.fasta	
	STMMW_13471		1416074	990	Vitamin B12 transport system permease protein btuC	418	STMMW_13471.fasta	
	STMMW_13481		1417155	552	putative glutathione peroxidase/vitamin B12 transport periplasmic protein BtuE	241	STMMW_13481.fasta	
	STMMW_13491		1417706	750	vitamin B12 ABC transport ATP-binding protein	349	STMMW_13491.fasta	
	STMMW_13501		1418532	465	putative lipoprotein	167	STMMW_13501.fasta	
	STMMW_13511		1419310	714	conserved hypothetical protein	455	STMMW_13511.fasta	
	STMMW_13521		1420085	1443	conserved hypothetical protein	565	STMMW_13521.fasta	
	STMMW_13531		1421562	192	conserved hypothetical protein	150	STMMW_13531.fasta	
	STMMW_13541		1421910	1047	3-deoxy-D-arabinoheptulosonate 7-phosphate synthase	411	STMMW_13541.fasta	
	STMMW_13551		1423112	834	conserved hypothetical protein	404	STMMW_13551.fasta	
	STMMW_13561		1424282	2379	phosphoenolpyruvate synthase	726	STMMW_13561.fasta	
	STMMW_13651		1436129	759	3-dehydroquinate dehydratase	228	STMMW_13651.fasta	
	STMMW_13701		1441633	1119	lipoprotein	397	STMMW_13701.fasta	
	STMMW_13711		1443016	3057	conserved hypothetical FAD-binding protein	832	STMMW_13711.fasta	
	STMMW_13721		1446069	411	conserved hypothetical protein	182	STMMW_13721.fasta	
	STMMW_13731		1446578	189	conserved hypothetical protein	69	STMMW_13731.fasta	
	STMMW_13741		1447054	1347	putative transporter	513	STMMW_13741.fasta	
	STMMW_13751		1448827	369	conserved hypothetical protein	157	STMMW_13751.fasta	
	STMMW_13761		1449204	1488	conserved hypothetical protein	547	STMMW_13761.fasta	
	STMMW_13771		1450708	747	putative ABC transport ATP-binding subunit	354	STMMW_13771.fasta	
	STMMW_13781		1451429	1272	conserved hypothetical protein	483	STMMW_13781.fasta	
	STMMW_13791		1452697	1221	putative amintransferase	500	STMMW_13791.fasta	
	STMMW_13801		1453930	417	conserved hypothetical protein	235	STMMW_13801.fasta	
	STMMW_13811		1454501	1002	putative exported protein	454	STMMW_13811.fasta	
	STMMW_13831		1456438	1359	pyruvate kinase	465	STMMW_13831.fasta	
	STMMW_13881		1462867	3063	tetrathionate reductase subunit A	807	STMMW_13881.fasta	
	STMMW_13891		1465922	1023	tetrathionate reductase subunit C (membrane protein)	461	STMMW_13891.fasta	
	STMMW_13901		1466945	753	tetrathionate reductase subunit B	366	STMMW_13901.fasta	
	STMMW_13911		1467861	1779	putative histidine kinase, two component regulatory protein	615	STMMW_13911.fasta	
	STMMW_13921		1469614	621	putative two-component response regulator	264	STMMW_13921.fasta	
	STMMW_13931		1470332	213	pathogenicity island protein	92	STMMW_13931.fasta	
	STMMW_13941		1470640	960	putative pathogenicity island protein	430	STMMW_13941.fasta	
	STMMW_13951		1471772	729	putative transcriptional regulator	367	STMMW_13951.fasta	
	STMMW_13961		1472679	639	putative two-component response regulator	221	STMMW_13961.fasta	
	STMMW_13971		1473348	2763	putative two-component sensor kinase	802	STMMW_13971.fasta	
	STMMW_13981		1476511	402	putative pathogenicity island 2 secreted effector protein	193	STMMW_13981.fasta	
	STMMW_13991		1476914	1494	putative outer membrane secretory protein	476	STMMW_13991.fasta	
	STMMW_14001		1478388	1212	putative pathogenicity island protein	400	STMMW_14001.fasta	
	STMMW_14021		1480113	327	putative pathogenicity island protein	146	STMMW_14021.fasta	
	STMMW_14031		1480446	591	putative pathogenicity island effector effector protein	268	STMMW_14031.fasta	
	STMMW_14041		1481033	474	putative Type III secretion system chaperone protein	248	STMMW_14041.fasta	
	STMMW_14051		1481509	1455	putative pathogenicity island effector protein	520	STMMW_14051.fasta	
	STMMW_14061		1482979	588	putative pathogenicity island effector protein	315	STMMW_14061.fasta	
	STMMW_14071		1483569	417	putative pathogenicity island effector protein	178	STMMW_14071.fasta	
	STMMW_14081		1484037	435	putative pathogenicity island protein	177	STMMW_14081.fasta	
	STMMW_14091		1484487	783	putative pathogenicity island effector protein	377	STMMW_14091.fasta	
	STMMW_14101		1485266	690	putative pathogenicity island effector protein	292	STMMW_14101.fasta	
	STMMW_14111		1486049	216	putative pathogenicity island protein	66	STMMW_14111.fasta	
	STMMW_14121		1486305	228	Type three secretion system apparatus	100	STMMW_14121.fasta	
	STMMW_14131		1486544	249	putative pathogenicity island protein	149	STMMW_14131.fasta	
	STMMW_14141		1486789	750	putative pathogenicity island lipoprotein	290	STMMW_14141.fasta	
	STMMW_14151		1487556	549	putative pathogenicity island protein	218	STMMW_14151.fasta	
	STMMW_14161		1488101	675	putative pathogenicity island protein	344	STMMW_14161.fasta	
	STMMW_14171		1488741	1017	putative secretion system protein	397	STMMW_14171.fasta	
	STMMW_14181		1489815	369	putative pathogenicity island protein	162	STMMW_14181.fasta	
	STMMW_14191		1490168	2046	putative type III secretion protein	508	STMMW_14191.fasta	
	STMMW_14201		1492203	1302	putative type III secretion ATP synthase	469	STMMW_14201.fasta	
	STMMW_14211		1493453	432	putative type III secretion protein	198	STMMW_14211.fasta	
	STMMW_14221		1493865	375	putative type III secretion protein	165	STMMW_14221.fasta	
	STMMW_14231		1494220	969	putative type III secretion protein	374	STMMW_14231.fasta	
	STMMW_14241		1495256	648	putative type III secretion protein	235	STMMW_14241.fasta	
	STMMW_14251		1495900	267	putative type III secretion protein	93	STMMW_14251.fasta	
	STMMW_14261		1496167	780	putative type III secretion protein	387	STMMW_14261.fasta	
	STMMW_14271		1496943	1059	putative type III secretion protein	460	STMMW_14271.fasta	
	STMMW_14281		1498474	1374	Multidrug-efflux transporter	503	STMMW_14281.fasta	
	STMMW_14291		1500064	642	riboflavin synthase alpha chain	247	STMMW_14291.fasta	
	STMMW_14301		1500747	1149	cyclopropane-fatty-acyl-phospholipid synthase	416	STMMW_14301.fasta	
	STMMW_14311		1502185	1206	putative integral membrane transport protein	456	STMMW_14311.fasta	
	STMMW_14321		1503503	933	putative transcriptional regulator	416	STMMW_14321.fasta	
	STMMW_14331		1504432	1026	purine nucleotide synthesis repressor	420	STMMW_14331.fasta	
	STMMW_14332		1505753	90		31	STMMW_14332.fasta	
	STMMW_14341		1505925	582	superoxide dismutase	250	STMMW_14341.fasta	
	STMMW_14351		1506633	855	putative secreted protein	328	STMMW_14351.fasta	
	STMMW_14361		1507789	348	conserved hypothetical protein	128	STMMW_14361.fasta	
	STMMW_14371		1508214	648	Exoribonuclease T	253	STMMW_14371.fasta	
	STMMW_14381		1508962	408	lactoylglutathione lyase	184	STMMW_14381.fasta	
	STMMW_14391		1509438	1098	N-ethylmaleimide reductase	472	STMMW_14391.fasta	
	STMMW_14401		1510594	600	putative TetR-family transcriptional regulator	306	STMMW_14401.fasta	
	STMMW_14411		1511296	240	conserved hypothetical protein	106	STMMW_14411.fasta	
	STMMW_14421		1511586	897	putative oxidoreductase	393	STMMW_14421.fasta	
	STMMW_14431		1512562	522	copper-zinc superoxide dismutase	267	STMMW_14431.fasta	
	STMMW_14441		1513059	2040	putative membrane protein	644	STMMW_14441.fasta	
	STMMW_14451		1515098	897	putative HlyD-family protein	421	STMMW_14451.fasta	
	STMMW_14461		1515961	237	putative membrane protein	76	STMMW_14461.fasta	
	STMMW_14471		1516392	441	Transcriptional regulator	176	STMMW_14471.fasta	
	STMMW_14481		1516880	468	outer membrane lipoprotein SlyB precursor	179	STMMW_14481.fasta	
	STMMW_14491		1517619	1122	conserved hypothetical protein	470	STMMW_14491.fasta	
	STMMW_14501		1518828	330	lipoprotein	104	STMMW_14501.fasta	
	STMMW_14511		1519216	657	pyridoxamine 5'-phosphate oxidase	321	STMMW_14511.fasta	
	STMMW_14521		1519999	1275	tyrosyl-tRNA synthetase	406	STMMW_14521.fasta	
	STMMW_14541		1522252	606	glutathione S-transferase	306	STMMW_14541.fasta	
	STMMW_14551		1522962	1506	putative proton/oligopeptide symporter	499	STMMW_14551.fasta	
	STMMW_14561		1525069	636	endonuclease III	335	STMMW_14561.fasta	
	STMMW_14571		1525704	693	electron transport complex protein	308	STMMW_14571.fasta	
	STMMW_14581		1526399	621	electron transport complex protein RnfG	305	STMMW_14581.fasta	
	STMMW_14591		1527023	1059	electron transport complex protein RnfD	443	STMMW_14591.fasta	
	STMMW_14611		1530282	579	Electron transport complex protein rnfB	256	STMMW_14611.fasta	
	STMMW_14621		1530860	582	electron transport complex protein RnfA	212	STMMW_14621.fasta	
	STMMW_14631		1531518	441	putative membrane protein	151	STMMW_14631.fasta	
	STMMW_14641		1532047	216	conserved hypothetical protein	105	STMMW_14641.fasta	
	STMMW_14642		1532560	126		49	STMMW_14642.fasta	
	STMMW_14651		1532893	1041	putative oxidoreductase	455	STMMW_14651.fasta	
	STMMW_14661		1534008	1002	Adenosine aminohydrolase	436	STMMW_14661.fasta	
	STMMW_14671		1535713	1509	exported protein	573	STMMW_14671.fasta	
	STMMW_14681		1537324	1176	mannose-6-phosphate isomerase	486	STMMW_14681.fasta	
	STMMW_14691		1538699	1647	fumarate hydratase class I, aerobic	625	STMMW_14691.fasta	
	STMMW_14701		1540513	1404	Fumarase C	516	STMMW_14701.fasta	
	STMMW_14711		1541913	930	DNA replication terminus site-binding protein	431	STMMW_14711.fasta	
	STMMW_14721		1542918	1302	two component sensor kinase	527	STMMW_14721.fasta	
	STMMW_14751		1547802	732	putative two-component response regulator	256	STMMW_14751.fasta	
	STMMW_14761		1548660	336	putative membrane protein	129	STMMW_14761.fasta	
	STMMW_14771		1549057	1383	putative amino acid permease	521	STMMW_14771.fasta	
	STMMW_14781		1550738	945	putative exported protein	373	STMMW_14781.fasta	
	STMMW_14791		1552209	1530	pyridine nucleotide transhydrogenase subunit-alpha	570	STMMW_14791.fasta	
	STMMW_14801		1553749	1389	pyridine nucleotide transhydrogenase subunit-beta	515	STMMW_14801.fasta	
	STMMW_14811		1555312	1035	putative membrane protein	423	STMMW_14811.fasta	
	STMMW_14821		1556764	363	putative conserved membrane protein	195	STMMW_14821.fasta	
	STMMW_14831		1557113	330	putative membrane protein	149	STMMW_14831.fasta	
	STMMW_14841		1557482	822	putative secreted protein	368	STMMW_14841.fasta	
	STMMW_14861		1559215	1254	putative membrane transport protein	516	STMMW_14861.fasta	
	STMMW_14871		1560588	900	putative regulatory protein	480	STMMW_14871.fasta	
	STMMW_14881		1561615	1221	putative regulatory protein	537	STMMW_14881.fasta	
	STMMW_14891		1562961	696	DTB synthetase	348	STMMW_14891.fasta	
	STMMW_14901		1563612	1290	Voltage-gated ClC-type chloride channel clcB. Putative chloride channel protein clcB-like	523	STMMW_14901.fasta	
	STMMW_14911		1565037	1149	putative ABC transporter ATP/GTP-binding protein	447	STMMW_14911.fasta	
	STMMW_14921		1566185	648	putative ABC transporter membrane protein	331	STMMW_14921.fasta	
	STMMW_14931		1566842	903	putative ABC transporter periplasmic binding protein	429	STMMW_14931.fasta	
	STMMW_14941		1567773	711	putative ABC transporter membrane protein	381	STMMW_14941.fasta	
	STMMW_14951		1568788	615	conserved hypothetical protein	337	STMMW_14951.fasta	
	STMMW_14991		1573466	2442	putative dimethyl sulphoxide reductase subunit	752	STMMW_14991.fasta	
	STMMW_15001		1576061	309	putative exported protein	162	STMMW_15001.fasta	
	STMMW_15021		1577224	561	spermidine N1-acetyltransferase	209	STMMW_15021.fasta	
	STMMW_15031		1577820	342	putative secreted protein	118	STMMW_15031.fasta	
	STMMW_15041		1578314	327	putative membrane protein	178	STMMW_15041.fasta	
	STMMW_15051		1578762	1215	starvation sensing protein RspA	484	STMMW_15051.fasta	
	STMMW_15091		1584116	204	conserved hypothetical protein	84	STMMW_15091.fasta	
	STMMW_15101		1584500	687	putative regulatory protein	319	STMMW_15101.fasta	
	STMMW_15111		1585316	747	putative oxidoreductase	273	STMMW_15111.fasta	
	STMMW_15121		1586201	2043	dipeptidyl carboxypeptidase II	707	STMMW_15121.fasta	
	STMMW_15151		1589844	393	putative periplasmic protein	209	STMMW_15151.fasta	
	STMMW_15191		1593596	435	multiple antibiotic resistance protein MarA	91	STMMW_15191.fasta	
	STMMW_15201		1593999	435	multiple antibiotic resistance protein MarR	173	STMMW_15201.fasta	
	STMMW_15211		1594692	666	putative membrane protein	249	STMMW_15211.fasta	
	STMMW_15221		1595404	1185	Probable sugar efflux transporter	460	STMMW_15221.fasta	
	STMMW_15231		1596704	873	putative regulatory protein	381	STMMW_15231.fasta	
	STMMW_15241		1597679	1389	putative oxidoreductase	584	STMMW_15241.fasta	
	STMMW_15251		1599140	927	probable glutaminase	422	STMMW_15251.fasta	
	STMMW_15261		1600066	360	conserved hypothetical protein	175	STMMW_15261.fasta	
	STMMW_15321		1605399	1062	hydrogenase-1 operon protein HyaF2	446	STMMW_15321.fasta	
	STMMW_15331		1606478	411	hydrogenase-1 operon protein HyaE2	207	STMMW_15331.fasta	
	STMMW_15341		1606885	345	hydrogenase isoenzymes formation protein	177	STMMW_15341.fasta	
	STMMW_15351		1607184	609	hydrogenase 1 maturation protease	272	STMMW_15351.fasta	
	STMMW_15361		1607798	744	Ni/Fe-hydrogenase 1 b-type cytochrome subunit HyaC2	280	STMMW_15361.fasta	
	STMMW_15371		1608492	1803	uptake hydrogenase-1 large subunit	579	STMMW_15371.fasta	
	STMMW_15531		1628575	2076	putative glycogen debranching protein	656	STMMW_15531.fasta	
	STMMW_15541		1630707	2529	putative hydrolase	736	STMMW_15541.fasta	
	STMMW_15551		1633232	1785	putative hydrolase	636	STMMW_15551.fasta	
	STMMW_15561		1635145	786	putative exported protein	437	STMMW_15561.fasta	
	STMMW_15571		1636073	330	putative secreted protein	105	STMMW_15571.fasta	
	STMMW_15581		1636752	432	osmotically inducible protein C	208	STMMW_15581.fasta	
	STMMW_15591		1637696	216	conserved hypothetical protein	93	STMMW_15591.fasta	
	STMMW_15601		1638006	144	30S ribosomal protein S22	56	STMMW_15601.fasta	
	STMMW_15611		1638326	1698	NAD-linked malic enzyme	595	STMMW_15611.fasta	
	STMMW_15621		1640390	930	alcohol dehydrogenase	444	STMMW_15621.fasta	
	STMMW_15681		1648920	381	conserved hypothetical protein	153	STMMW_15681.fasta	
	STMMW_15691		1649325	1488	methyl viologen resistance protein SmvA	559	STMMW_15691.fasta	
	STMMW_15701		1650929	579	putative regulatory protein	335	STMMW_15701.fasta	
	STMMW_15771		1660890	846	N-hydroxyarylamine O-acetyltransferase	401	STMMW_15771.fasta	
	STMMW_15791		1663164	1494	L-asparagine permease	519	STMMW_15791.fasta	
	STMMW_15801		1664734	222	putative lipoprotein	114	STMMW_15801.fasta	
	STMMW_15811		1665100	1062	possible ATP-binding protein	463	STMMW_15811.fasta	
	STMMW_15821		1666425	2121	probable TonB-dependent receptor YncD precursor	713	STMMW_15821.fasta	
	STMMW_15831		1668612	666	putative regulatory protein	300	STMMW_15831.fasta	
	STMMW_15841		1669611	1071	putative NADP-dependent oxidoreductase	490	STMMW_15841.fasta	
	STMMW_15851		1670860	516	putative acetyltransferase	242	STMMW_15851.fasta	
	STMMW_15861		1671375	450	putative membrane protein	251	STMMW_15861.fasta	
	STMMW_15871		1671829	234	conserved hypothetical protein	123	STMMW_15871.fasta	
	STMMW_15881		1672286	1320	putative virulence effector protein	498	STMMW_15881.fasta	
	STMMW_15901		1676588	2145	putative virulence effector protein	673	STMMW_15901.fasta	
	STMMW_15921		1679349	1446	putative aldehyde dehydrogenase	570	STMMW_15921.fasta	
	STMMW_15981		1685920	231	putative exported protein	114	STMMW_15981.fasta	
	STMMW_15991		1686151	1965	putative peptidase	645	STMMW_15991.fasta	
	STMMW_16021		1690053	669	putative lipoprotein	310	STMMW_16021.fasta	
	STMMW_16031		1690877	597	tellurite resistance protein TehB	306	STMMW_16031.fasta	
	STMMW_16041		1691460	1014	tellurite resistance protein TehA	409	STMMW_16041.fasta	
	STMMW_16051		1692580	981	putative transferase	471	STMMW_16051.fasta	
	STMMW_16061		1693557	540	ribosomal-protein-serine acetyltransferase	283	STMMW_16061.fasta	
	STMMW_16131		1699082	792	putative regulatory protein	375	STMMW_16131.fasta	
	STMMW_16161		1701571	576	putative exported protein	420	STMMW_16161.fasta	
	STMMW_16171		1702342	1656	Glucans biosynthesis protein D precursor	599	STMMW_16171.fasta	
	STMMW_16181		1704217	1509	putative esterase	552	STMMW_16181.fasta	
	STMMW_16331		1721405	663	possible methyltransferase	284	STMMW_16331.fasta	
	STMMW_16341		1722338	531	cytochrome b561 (cytochrome b-561)	292	STMMW_16341.fasta	
	STMMW_16351		1722985	801	conserved hypothetical protein	413	STMMW_16351.fasta	
	STMMW_16361		1723849	3903	ATP-dependent helicase HrpA	935	STMMW_16361.fasta	
	STMMW_16371		1727952	606	ACP phosphodiesterase	365	STMMW_16371.fasta	
	STMMW_16391		1729146	324	putative secreted protein	193	STMMW_16391.fasta	
	STMMW_16401		1729477	192	putative lipoprotein	59	STMMW_16401.fasta	
	STMMW_16411		1729668	2637	putative exported protein	729	STMMW_16411.fasta	
	STMMW_16421		1732544	990	D-lactate dehydrogenase	423	STMMW_16421.fasta	
	STMMW_16431		1733644	411	heat shock protein (hslJ)	197	STMMW_16431.fasta	
	STMMW_16441		1734098	156	conserved hypothetical protein	88	STMMW_16441.fasta	
	STMMW_16451		1734280	300	conserved hypothetical protein	114	STMMW_16451.fasta	
	STMMW_16461		1734640	3525	probable pyruvate-flavodoxin oxidoreductase	866	STMMW_16461.fasta	
	STMMW_16471		1738646	435	conserved hypothetical protein	189	STMMW_16471.fasta	
	STMMW_16481		1739130	339	Putative multi-drug transporter	135	STMMW_16481.fasta	
	STMMW_16501		1739824	936	conserved hypothetical protein	444	STMMW_16501.fasta	
	STMMW_16511		1740803	1374	ATP-independent RNA helicase (DbpA)	533	STMMW_16511.fasta	
	STMMW_16521		1742663	984	putative membrane transport protein	364	STMMW_16521.fasta	
	STMMW_16541		1745357	564	conserved hypothetical protein	263	STMMW_16541.fasta	
	STMMW_16551		1746178	516	O6-methylguanine-DNA-alkyltransferase	291	STMMW_16551.fasta	
	STMMW_16561		1746847	795	fumarate and nitrate reduction regulatory protein	370	STMMW_16561.fasta	
	STMMW_16571		1747792	948	conserved hypothetical protein	412	STMMW_16571.fasta	
	STMMW_16581		1748794	255	putative membrane protein	96	STMMW_16581.fasta	
	STMMW_16591		1749287	1032	putative membrane protein	366	STMMW_16591.fasta	
	STMMW_16601		1750404	603	conserved hypothetical DNA-binding protein	305	STMMW_16601.fasta	
	STMMW_16611		1751050	687	conserved hypothetical protein	366	STMMW_16611.fasta	
	STMMW_16751		1766316	729	conserved hypothetical protein	367	STMMW_16751.fasta	
	STMMW_16761		1767019	966	putative mandelate racemase / muconate lactonizing enzyme family protein	419	STMMW_16761.fasta	
	STMMW_16771		1768100	507	Probable thiol peroxidase	191	STMMW_16771.fasta	
	STMMW_16781		1768696	1542	transcriptional regulatory protein TyrR	566	STMMW_16781.fasta	
	STMMW_16791		1770385	1062	putative membrane protein	450	STMMW_16791.fasta	
	STMMW_16801		1771443	1404	putative ATP-binding protein	519	STMMW_16801.fasta	
	STMMW_16831		1773620	360	phage shock protein C	155	STMMW_16831.fasta	
	STMMW_16841		1773979	225	phage shock protein B	95	STMMW_16841.fasta	
	STMMW_16851		1774263	669	phage shock protein A	334	STMMW_16851.fasta	
	STMMW_16871		1776194	1650	peptide transport periplasmic protein SapA precursor	540	STMMW_16871.fasta	
	STMMW_16881		1778011	795	peptide transport system permease protein SapB	357	STMMW_16881.fasta	
	STMMW_16891		1778792	891	peptide transport system permease protein SapC	382	STMMW_16891.fasta	
	STMMW_16901		1779682	993	peptide transport system ATP-binding protein SapD	383	STMMW_16901.fasta	
	STMMW_16911		1780676	807	peptide transport system ATP-binding protein SapF	341	STMMW_16911.fasta	
	STMMW_16921		1781498	708	conserved hypothetical protein	409	STMMW_16921.fasta	
	STMMW_16961		1784651	789	enoyl-[acyl-carrier-protein] reductase (NADH)	310	STMMW_16961.fasta	
	STMMW_16981		1786861	1935	RNase II	636	STMMW_16981.fasta	
	STMMW_16991		1789057	1983	conserved hypothetical protein	707	STMMW_16991.fasta	
	STMMW_16992		1791161	180		80	STMMW_16992.fasta	
	STMMW_17001		1791427	753	putative regulatory protein	317	STMMW_17001.fasta	
	STMMW_17002		1792438	219		89	STMMW_17002.fasta	
	STMMW_17011		1792776	327	putative translation initiaiton factor	168	STMMW_17011.fasta	
	STMMW_17021		1793102	738	OMP decarboxylase	385	STMMW_17021.fasta	
